시도교육청,지역교육청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,제외여부,제외사유,1학년(남),1학년(여),2학년(남),2학년(여),3학년(남),3학년(여),특수학급(남),특수학급(여),순회학급(남),순회학급(여),계(남),계(여),총계,학교특성,분교여부,설립유형,주야구분,개교기념일,설립일,법정동코드,주소내역,상세주소내역,우편번호,학교도로명 우편번호,학교도로명 주소,학교도로명 상세주소,위도,경도,전화번호,팩스번호,홈페이지 주소,남녀공학 구분,_merge
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000713,봉은중학교,3,공립,N,,49,41,54,52,71,59,0,0,0,0,174,152,326,,N,단설,주간,19860429,19860129,1168010500,서울특별시 강남구 삼성동,82-7번지.,135871,6079,서울특별시 강남구 영동대로128길 59,(삼성동),37.5189411,127.0621196,02-547-5628,02-512-3809,http://bongeun.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000714,서문여자중학교,3,사립,N,,0,201,0,204,0,235,0,0,0,0,0,640,640,,N,단설,주간,19781229,19781229,1165010100,서울특별시 서초구 방배동,1514.,137852,6565,서울특별시 서초구 동광로12길 84,(방배동),37.48877,126.984628,02-3015-3600,02-594-6063,http://suhmoon.sen.ms.kr,녀,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000715,서운중학교,3,공립,N,,192,182,221,177,214,184,0,0,0,0,627,543,1170,,N,단설,주간,19820501,19820107,1165010800,서울특별시 서초구 서초동,1325-1.,137857,6623,서울특별시 서초구 서운로 115,"(서초동,서운중학교)",37.493734,127.024691,02-3473-2701,02-581-4691,http://seoun.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000716,서일중학교,3,공립,N,,164,177,187,171,201,156,3,2,0,0,555,506,1061,,N,단설,주간,19870430,19861217,1165010800,서울특별시 서초구 서초동,1313번지.,06617,6617,서울특별시 서초구 서운로21길 2,"(서초동,서일중학교)",37.4985297674019,127.023219105655,02-3482-9663,02-3481-9395,http://seoil.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000717,서초중학교,3,공립,N,,146,92,154,86,124,81,6,1,0,0,430,260,690,,N,단설,주간,19790830,19790830,1165010800,서울특별시 서초구 서초동,1528번지.,137871,6670,서울특별시 서초구 반포대로13길 48,"(서초동,서초중학교)",37.4855392160877,127.008520790929,02-583-0105,02-583-8274,http://seocho.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000718,세화여자중학교,3,사립,N,,0,236,0,296,0,297,0,0,0,0,0,829,829,,N,단설,주간,19780506,19780218,1165010700,서울특별시 서초구 반포동,753번지.,137049,6548,서울특별시 서초구 신반포로 56-7,", 세화여자중학교 (반포동,강당)",37.5019914,126.9942648,02-594-4887,02-594-4858,http://sehwa.sen.ms.kr,녀,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000719,수서중학교,3,공립,N,,72,89,96,75,95,87,4,3,0,0,267,254,521,,N,단설,주간,19930430,19930430,1168011500,서울특별시 강남구 수서동,710번지.,135884,6348,서울특별시 강남구 광평로59길 57,"(수서동,수서중학교)",37.4912039496621,127.102379320809,02-451-7092,02-451-7095,http://suseo.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000720,숙명여자중학교,3,사립,N,,0,290,0,312,0,306,0,0,0,0,0,908,908,,N,단설,주간,19060522,19060522,1168011800,서울특별시 강남구 도곡동,91번지.,135270,6277,서울특별시 강남구 남부순환로 2807,", 숙명여자중학교",37.491474460406,127.052612355929,"02-3462-5011,5012",02-3461-5084,http://sookmyung.sen.ms.kr,녀,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000721,신구중학교,3,공립,N,,52,53,56,54,47,62,0,0,0,0,155,169,324,,N,단설,주간,19880425,19880202,1168010700,서울특별시 강남구 신사동,621번지.,135894,6023,서울특별시 강남구 압구정로36길 17,"(신사동,신구중학교)",37.527283,127.03216,02-548-5038,02-517-0338,http://shingu.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000722,신동중학교,3,공립,N,,135,119,149,119,143,158,0,0,0,0,427,396,823,,N,단설,주간,19900522,19900120,1165010600,서울특별시 서초구 잠원동,54-6.,137907,6516,서울특별시 서초구 나루터로 27,", 신동중학교 (잠원동,신동중학교)",37.516699,127.013192,02-594-6456,02-595-6458,http://shindong.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000723,신반포중학교,3,공립,N,,261,38,156,52,152,50,4,1,0,0,573,141,714,,N,단설,주간,19840502,19840109,1165010700,서울특별시 서초구 반포동,3-1.,137042,6504,서울특별시 서초구 신반포로19길 26,", 신반포중학교 (반포동,신반포중학교)",37.505955,126.995829,02-537-6731,02-593-0964,shinbanpo.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000724,신사중학교,3,공립,N,,53,55,69,52,76,93,4,2,0,0,202,202,404,,N,단설,주간,19840418,19840301,1168011000,서울특별시 강남구 압구정동,410.,135110,6000,서울특별시 강남구 압구정로 123,"(압구정동,신사중학교)",37.5246989184931,127.0211909296,02-541-1062,02-547-6940,http://sinsa.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000725,언남중학교,3,공립,N,,64,60,48,71,64,72,4,1,0,0,180,204,384,,N,단설,주간,19890510,19881224,1165010200,서울특별시 서초구 양재동,310번지.,137896,6780,서울특별시 서초구 동산로 55,"(양재동,언남중학교)",37.4724059,127.0444116,02-577-3038,02-574-0546,http://eonnam.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000726,언북중학교,3,공립,N,,50,47,69,45,60,46,5,1,0,0,184,139,323,,N,단설,주간,19820914,19820107,1168010800,서울특별시 강남구 논현동,69번지.,135012,6050,서울특별시 강남구 도산대로38길 27,"(논현동,언북중학교)",37.5194271102279,127.033125748255,02-514-4302,02-516-1656,http://eonbuk.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000727,언주중학교,3,공립,N,,166,145,179,143,205,148,0,0,0,0,550,436,986,,N,단설,주간,19800501,19801227,1168010500,서울특별시 강남구 삼성동,28번지.,135092,6093,서울특별시 강남구 선릉로116길 57,", 언주중학교",37.5144,127.0465,02-514-7174,02-514-8335,http://eonju.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000728,역삼중학교,3,공립,N,,268,140,286,121,239,136,5,2,0,0,798,399,1197,,N,단설,주간,19840406,19841208,1168010100,서울특별시 강남구 역삼동,767-20.,135927,6219,서울특별시 강남구 도곡로43길 10,"(역삼동,역삼중학교)",37.4959342409457,127.048892776301,02-558-1501,02-563-9770,http://yeoksam.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000729,영동중학교,3,공립,N,,189,157,169,135,145,122,4,3,0,0,507,417,924,,N,단설,주간,19700525,19691111,1165010300,서울특별시 서초구 우면동,680.,137901,6765,서울특별시 서초구 성촌길 14,"(우면동,영동중학교)",37.4659308607423,127.025207537044,02-3474-7386,02-3474-1960,http://youngdong.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000730,원촌중학교,3,공립,N,,221,193,239,171,197,199,1,3,0,0,658,566,1224,,N,단설,주간,19830426,19821209,1165010700,서울특별시 서초구 반포동,22번지.,06544,6544,서울특별시 서초구 사평대로45길 10,"(반포동,원촌중학교)",37.5059213,127.0141459,02-3482-6053,02-535-0238,http://wonchon.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000731,은성중학교,3,사립,N,,66,91,78,87,68,97,0,0,0,0,212,275,487,,N,병설,주간,19461015,19550316,1168011800,서울특별시 강남구 도곡동,938-10.,135270,6264,서울특별시 강남구 남부순환로359길 36,"(도곡동,은광여자고등학교)",37.487704,127.036142,02-3462-2003,02-3462-0088,http://eunseong.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,S010000732,이수중학교,3,공립,N,,142,0,126,0,140,0,0,0,0,0,408,0,408,,N,단설,주간,19820921,19820107,1165010100,서울특별시 서초구 방배동,974-22번지.,137062,6689,서울특별시 서초구 방배중앙로3길 32,"(방배동,이수중학교)",37.4809574,126.9903022,02-521-4651,02-521-1283,http://isu.sen.ms.kr,남,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000733,중동중학교,3,사립,N,,283,0,324,0,276,0,0,0,0,0,883,0,883,,N,단설,주간,19060510,19060510,1168011400,서울특별시 강남구 일원동,692번지.,135946,6344,서울특별시 강남구 일원로8길 37,중동중학교,37.488319,127.0786207,070-7092-9300,02-445-9882,https://joongdong.sen.ms.kr/,남,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000734,진선여자중학교,3,사립,N,,0,332,0,345,0,339,0,0,0,0,0,1016,1016,,N,단설,주간,19760520,19761228,1168010100,서울특별시 강남구 역삼동,713.,135919,6213,서울특별시 강남구 선릉로85길 27,"(역삼동, 진선여자중학교)",37.5023100101203,127.048286230795,02-2185-4300,02-2185-4397,http://jinseon.sen.ms.kr,녀,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000735,청담중학교,3,공립,N,,48,52,71,69,65,69,0,0,0,0,184,190,374,,N,단설,주간,19840427,19840301,1168010400,서울특별시 강남구 청담동,청담중학교.,135959,6010,서울특별시 강남구 압구정로61길 36,"(청담동,청담중학교)",37.5287754527102,127.045352775787,02-511-5151,02-549-9834,http://cheongdam.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 강남구,S010000736,휘문중학교,3,사립,N,,283,0,269,0,276,0,0,0,0,0,828,0,828,,N,단설,주간,19060501,19060501,1168010600,서울특별시 강남구 대치동,952-1번지.,06183,6183,서울특별시 강남구 역삼로 541,(대치동),37.504951,127.0620662,02-500-9700,02-553-1042,http://whimoon.sen.ms.kr,남,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000856,가락중학교,3,공립,N,,95,56,105,58,98,58,1,1,0,0,299,173,472,,N,단설,주간,19860506,19860129,1171010400,서울특별시 송파구 송파동,168번지.,05673,5673,서울특별시 송파구 송이로 45,"(송파동,가락중학교)",37.5024872429701,127.11875254289,02-2143-3102,02-2143-3119,http://karak.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000857,가원중학교,3,공립,N,,74,73,72,72,64,83,0,0,0,0,210,228,438,,N,단설,주간,19881224,19881224,1171010700,서울특별시 송파구 가락동,106-3번지.,138169,5831,서울특별시 송파구 중대로10길 40-18,"(가락동,가원중학교)",37.4910002966395,127.123171456642,02-409-2179,02-443-5825,http://gawon.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000858,강일중학교,3,공립,N,,104,98,119,93,149,93,2,0,0,0,374,284,658,,N,단설,주간,19830415,19821209,1174010700,서울특별시 강동구 암사동,414-17.,134855,5236,서울특별시 강동구 고덕로27길 12,(암사동414-17),37.5551525,127.1382791,02-441-4651,02-441-4677,http://kangil.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000859,거원중학교,3,공립,N,,41,78,73,101,74,71,0,0,0,0,188,250,438,,N,단설,주간,19980406,19971220,1171011300,서울특별시 송파구 거여동,296.,138112,5789,서울특별시 송파구 양산로2길 30,"(거여동,거원중학교)",37.4874893,127.1465347,02-405-4205,02-405-4204,http://geowon.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000860,고덕중학교,3,공립,N,,248,198,256,193,228,150,4,1,0,0,736,542,1278,,N,단설,주간,19841130,19841130,1174010200,서울특별시 강동구 고덕동,223.,134803,5225,서울특별시 강동구 동남로82길 94,(고덕동),37.5603670587628,127.16164476279,02-2045-6000,02-2045-6097,http://godeok.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000861,동북중학교,3,사립,N,,63,0,81,0,100,0,0,0,0,0,244,0,244,,N,단설,주간,19530604,19530604,1174010600,서울특별시 강동구 둔촌동,180-2번지.,134820,5412,서울특별시 강동구 강동대로 305,(둔촌동),37.520249,127.140634,02-477-2280,02-475-4985,http://dongbuk.sen.ms.kr,남,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000862,동신중학교,3,사립,N,,70,64,91,66,106,72,0,0,0,0,267,202,469,,N,단설,주간,19500516,19500516,1174010900,서울특별시 강동구 천호동,447-9번지.,134020,5339,서울특별시 강동구 진황도로 72,", 동신중학교 (천호동)",37.53676987709,127.134366593996,02-3784-3938,02-3784-3944,http://dongshin.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000863,둔촌중학교,3,공립,N,,46,39,53,32,66,50,2,0,0,0,167,121,288,,N,단설,주간,19860129,19860129,1174010600,서울특별시 강동구 둔촌동,19-1번지.,134062,5367,서울특별시 강동구 진황도로61길 25-30,(둔촌동),37.530632,127.146493,02-489-7100,02-486-7627,http://doonchon.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000864,명일중학교,3,공립,N,,138,166,158,157,177,137,6,1,0,0,479,461,940,,N,단설,주간,19840514,19840109,1174010200,서울특별시 강동구 고덕동,489번지.,134805,5230,서울특별시 강동구 양재대로156길 57,"(고덕동,명일중학교)",37.557385,127.147981,070-5102-5713,02-429-4457,http://myungil.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000865,문정중학교,3,공립,N,,83,56,77,63,88,94,4,2,0,0,252,215,467,,N,단설,주간,19900120,19900120,1171010800,서울특별시 송파구 문정동,12-1.,138200,5797,서울특별시 송파구 문정로 73,"(문정동, 문정중학교)",37.488480950868,127.130019494199,02-448-6348,02-430-6063,http://munjeong.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000866,방산중학교,3,공립,N,,63,72,75,77,73,67,3,0,0,0,214,216,430,,N,단설,주간,19910506,19910221,1171011100,서울특별시 송파구 방이동,220번지.,138050,5645,서울특별시 송파구 오금로29길 31,"(방이동, 방산중학교)",37.5091513,127.1219039,02-2046-2600,02-2046-2610,http://bangsan.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000867,방이중학교,3,공립,N,,75,42,68,45,68,64,2,1,0,0,213,152,365,,N,단설,주간,19850412,19850412,1171011100,서울특별시 송파구 방이동,53번지.,138828,5546,서울특별시 송파구 오금로11길 64,"(방이동,방이중학교)",37.5150094047568,127.113243457123,02-2152-7111,02-2152-7106,http://bangi.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000868,배명중학교,3,사립,N,,147,0,164,0,190,0,0,0,0,0,501,0,501,,N,병설,주간,19341007,19490307,1171010600,서울특별시 송파구 삼전동,172-1.,138841,5598,서울특별시 송파구 삼학사로 11,"(삼전동,배명중고등학교)",37.49905,127.095697,02-414-5474,02-2202-3153,http://bm.sen.ms.kr,남,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000869,배재중학교,3,사립,N,,289,0,300,0,303,0,0,0,0,0,892,0,892,,N,단설,주간,18850608,18850803,1174010200,서울특별시 강동구 고덕동,313번지.,134080,5234,서울특별시 강동구 고덕로 227,"(고덕동, 배재중학교)",37.5550590245101,127.150248126988,02-429-1885,02-429-7849,http://paichai.sen.ms.kr,남,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000870,보성중학교,3,사립,N,,111,0,135,0,158,0,0,0,0,0,404,0,404,,N,단설,주간,19060905,19060905,1171011100,서울특별시 송파구 방이동,89-22.,05649,5649,서울특별시 송파구 양재대로 1278,"(방이동,보성중고등학교)",37.520206,127.134853,02-2152-2513,02-449-9355,http://posung.sen.ms.kr/,남,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000871,보인중학교,3,사립,N,,158,0,195,0,188,0,0,0,0,0,541,0,541,,N,단설,주간,19080608,19080608,1171011200,서울특별시 송파구 오금동,162번지.,138860,5742,서울특별시 송파구 오금로49길 18,"(오금동, 보인중고등학교)",37.49814,127.138032,02-449-6017,02-449-8068,http://boin.sen.ms.kr,남,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000872,상일중학교,3,사립,N,,0,158,0,171,0,132,0,0,0,0,0,461,461,,N,단설,주간,19790221,19790221,1174010300,서울특별시 강동구 상일동,189번지.,134837,5282,서울특별시 강동구 천호대로219길 61,"(상일동, 상일여자중학교)",37.5479536894469,127.170218258095,02-428-0735,02-3426-4787,http://sangil.sen.ms.kr,녀,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000873,석촌중학교,3,공립,N,,52,43,62,54,60,61,0,0,0,0,174,158,332,,N,단설,주간,19820107,19820107,1171010700,서울특별시 송파구 가락동,43번지.,138801,5706,서울특별시 송파구 송이로15길 13,(가락동),37.501203,127.120763,02-448-4031,02-443-6481,http://seokchon.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000874,성내중학교,3,공립,N,,63,89,82,97,83,103,6,0,0,0,234,289,523,,N,단설,주간,19850406,19841208,1174010800,서울특별시 강동구 성내동,530번지.,134850,5396,서울특별시 강동구 성안로7길 36,"(성내동,성내중학교)",37.5290631692422,127.129116954589,02-480-1600,02-472-8198,http://seongnae.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000875,성덕여자중학교,3,사립,N,,0,151,0,174,0,202,0,0,0,0,0,527,527,,N,단설,주간,19770905,19761228,1174010900,서울특별시 강동구 천호동,23-3번지.,134861,5306,서울특별시 강동구 구천면로 396,"(천호동, 성덕여자중학교)",37.549597,127.141637,02-475-4626 ~ 8,02-482-2911,http://sd.sen.ms.kr,녀,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000876,세륜중학교,3,공립,N,,46,61,72,55,61,95,0,0,0,0,179,211,390,,N,단설,주간,19920422,19911030,1171011200,서울특별시 송파구 오금동,7-3번지.,138855,5654,서울특별시 송파구 양재대로72길 41,"(오금동,세륜중학교)",37.508594,127.131492,02-411-1000,02-431-1059,http://seryun.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000877,송파중학교,3,공립,N,,139,131,134,155,169,170,10,1,0,0,452,457,909,,N,단설,주간,19781010,19780227,1171010700,서울특별시 송파구 가락동,139번지.,138807,5823,서울특별시 송파구 동남로 203,"(가락동, 송파중학교)",37.4959233615919,127.129932882337,02-402-0118,02-430-0757,http://songpa.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000878,신명중학교,3,공립,N,,92,74,73,86,94,98,5,1,0,0,264,259,523,,N,단설,주간,19931009,19930110,1174010500,서울특별시 강동구 길동,42.,134808,5300,서울특별시 강동구 명일로24길 25,(길동),37.5418263719437,127.149298242911,02-6969-6400,02-6969-6499,http://sinmyung.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 강동구,S010000879,신암중학교,3,공립,N,,101,76,95,74,101,92,1,0,0,0,298,242,540,,N,단설,주간,19810504,19810504,1174010700,서울특별시 강동구 암사동,444번지.,134855,5238,서울특별시 강동구 고덕로 65,", 신암중학교 (암사동)",37.5563692473766,127.133614082143,02-441-6751,02-441-6752,http://sinam.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000880,신천중학교,3,공립,N,,249,145,227,151,265,117,4,2,0,0,745,415,1160,,N,단설,주간,19751114,19751114,1171010100,서울특별시 송파구 잠실동,19-4(백제고분로 13).,138220,5501,서울특별시 송파구 백제고분로 11,", 신천중학교 (잠실동)",37.5164364851475,127.077709600361,02-422-3946,02-421-1219,scm.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000881,아주중학교,3,공립,N,,84,52,123,55,122,90,0,0,0,0,329,197,526,,N,단설,주간,19870501,19861207,1171010100,서울특별시 송파구 잠실동,115.,138227,5572,서울특별시 송파구 올림픽로4길 69,", 아주중학교 (잠실동)",37.5052287500941,127.076548911442,02-415-1697,02-420-8294,http://aju.sen.ms.kr,남녀공학,both
서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,S010000882,영파여자중학교,3,사립,N,,0,115,0,108,0,97,0,0,0,0,0,320,320,,N,단설,주간,19671028,19671028,1171010300,서울특별시 송파구 풍납동,501번지.,138040,5529,서울특별시 송파구 올림픽로 565,(풍납동),37.532854,127.120354,02-488-4074,02-487-9810,http://youngpa.sen.ms.kr,녀,both
