"시도교육청","지역교육청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","학년","성별","왕복오래달리기(회)","오래달리기걷기(초)","스텝검사(PEI)","앉아윗몸앞으로굽히기(cm)","종합유연성(점)","(무릎대고)팔굽혀펴기(회)","윗몸말아올리기(회)","악력(kg)","50m달리기(초)","제자리멀리뛰기(cm)","BMI(kg/㎡)","체지방률(%fat)","인원","%","인원","%","인원","%","인원","%","인원","%","검사인원수"
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000750","서울대현초등학교","02","공립","Y","2020학년도 학생건강체력평가를 실시하지 않았음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000751","서울도곡초등학교","02","공립","Y","2020년도 코로나19 확산으로 시행하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000752","서울도성초등학교","02","공립","Y","코로나19 감염병 예방으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000753","서울반원초등학교","02","공립","Y","코로나19로 인하여 체력 평가를 하지 못했음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000754","서울반포초등학교","02","공립","Y","감염병 사항으로 진행하지 않음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000755","서울방배초등학교","02","공립","Y","2020학년도 학생건강 체력평가 미실시함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000756","서울방일초등학교","02","공립","Y","코로나19 감염병 상황으로 인하여, 2020학년도 본교 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000757","서울방현초등학교","02","공립","Y","감염병 상황으로 인하여 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000758","서울봉은초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000759","서울삼릉초등학교","02","공립","Y","감염병 상황으로 인하여 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000760","서울서래초등학교","02","공립","Y","감염병 상황으로 인하여 시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가 실시를 생략함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000761","서울서원초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000762","서울서이초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료 없음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000763","서울서일초등학교","02","공립","Y","감염병 상황으로 인하여 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료 없음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000764","서울서초초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000765","서울수서초등학교","02","공립","Y","시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000766","서울신구초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000767","서울신동초등학교","02","공립","Y","코로나19로 인한 건강체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000768","서울신중초등학교","02","공립","Y","감염병상황으로 인하여, 2020학년도 학생건강체력평가를 실시 하지 않아 해당자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000769","서울압구정초등학교","02","공립","Y","전년도 학생의 체력증진 미실시로 제외처리함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000770","서울양재초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000771","서울양전초등학교","02","공립","Y","코로나로 인한 PAPS 미측정","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000772","서울언남초등학교","02","공립","Y","코로나 19 감염병 상황 등을 고려하여 실시하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000773","서울언북초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000774","서울언주초등학교","02","공립","Y","2020학년도 학생건강체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000775","서울역삼초등학교","02","공립","Y","감염병으로 2020학년도 학생 건강체력평가 실시를 생략함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000776","서울영희초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000777","서울왕북초등학교","02","공립","Y","2020학년도 코로나로 인하여 실시하지 않았습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000778","서울우암초등학교","02","공립","Y","2020학년도 학생건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000779","서울원명초등학교","02","공립","Y","2020학년도 학생건강체력평가를 실시하지 않아 해당자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000780","서울원촌초등학교","02","공립","Y","코로나19 감염병 상황을 고려하여 2020년 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000781","서울이수초등학교","02","공립","Y","2020학년도 학생건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000782","서울일원초등학교","02","공립","Y","2020학년도 PAPS검사 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 서초구","S010000783","서울잠원초등학교","02","공립","Y","2020학년도 학생건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000784","서울청담초등학교","02","공립","Y","감염병 상황으로 인하여, 2020학년도 학생건강체력평가를 실시하지 않아 해당 자료가 없습니다.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000785","서울포이초등학교","02","공립","Y","감영병 상황 등을 고려 2020학년도 학생건강체력평가 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강남서초교육지원청","서울특별시 강남구","S010000786","서울학동초등학교","02","공립","Y","학교장이 감염병 상황 등을 고려하여 시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가 실시를 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000897","서울가동초등학교","02","공립","Y","학교장이 감염병 상황 등을 고려하여 시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가 실시를 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000898","서울가락초등학교","02","공립","Y","감염병 상황을 고려해 2020학년도 학생건강체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000899","서울가원초등학교","02","공립","Y","코로나-19로 인한 2020학년도 학생건강 체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000900","서울가주초등학교","02","공립","Y","코로나19 감염병 유행으로 인한 건강체력평가 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","4학년","여자","70","0.00","","","8","","","16.9","8.7","","15.1","","0","0","1","100","0","0","0","0","0","0","1"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","5학년","남자","77.2","5.38","68.8","7.5","","","38.4","20.6","9.8","154.2","20.2","","1","4.2","8","33.3","13","54.2","2","8.3","0","0","24"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","5학년","여자","63.6","5.28","58.9","11.7","","","47.5","16.7","10.1","137.8","17.8","","1","2.6","19","48.7","17","43.6","2","5.1","0","0","39"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","6학년","남자","88.9","5.15","67.7","6.9","","","","22.8","9.1","172.4","19.8","14.3","1","7.7","5","38.5","6","46.2","1","7.7","0","0","13"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000901","서울강덕초등학교","02","공립","N","","6학년","여자","68.4","6.08","86.2","12.3","","","48.3","19.2","9.4","137.9","18","","0","0","8","42.1","9","47.4","2","10.5","0","0","19"
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000902","서울강동초등학교","02","공립","Y","2020학년도 학생 건강체력평가 실시 생략함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000903","서울강일초등학교","02","공립","Y","2020감염병 예방으로 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000904","서울거여초등학교","02","공립","Y","감영병 상황을 고려하여 건강체력평가 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000905","서울거원초등학교","02","공립","Y","코로나19로 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000906","서울고덕초등학교","02","공립","Y","2020학년도 실시 안함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000907","서울고명초등학교","02","공립","Y","2020학년도 PAPS 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000908","서울고일초등학교","02","공립","Y","2020학년도 학생 건강체력평가 실시를 생략한 학교는 2021공시 대상 항목에서 제외","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000909","서울길동초등학교","02","공립","Y","2020학년도 학생체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000910","서울남천초등학교","02","공립","Y","2020 감염병으로 인함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000911","서울대명초등학교","02","공립","Y","코로나19로 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000913","서울마천초등학교","02","공립","Y","2020학년도 학생건강 체력평가 미실시함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000914","서울명덕초등학교","02","공립","Y","2020학년도 학생건강 체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000915","서울명원초등학교","02","공립","Y","2020학년도 학생건강체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000916","서울명일초등학교","02","공립","Y","시도교육감 및 교육장의 승인(관련:체육건강문화예술과-12850(2020.8.19.))을 받아 2020학년도 학생건강체력평가 미실시(생략)","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000917","서울묘곡초등학교","02","공립","Y","2020학년도 해당 항목 미실시(코로나 19로 인함)","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000918","서울문덕초등학교","02","공립","Y","코로나로 인해 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000919","서울문정초등학교","02","공립","Y","2020학년도 학생건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000920","서울방산초등학교","02","공립","Y","시도교육감 및 교육장의 승인을 받아 2020학년도 학생 건강체력평가 실시를 생략함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000921","서울방이초등학교","02","공립","Y","2020학년도 학생건강 체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000922","서울삼전초등학교","02","공립","Y","코로나19로 인하여 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000923","서울상일초등학교","02","공립","Y","코로나19로 인해 실시하지 않음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000924","서울석촌초등학교","02","공립","Y","코로나19로 인해 학생건강체력평가를 실시하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000925","서울선린초등학교","02","공립","Y","2020학년도 학생 건강체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000926","서울선사초등학교","02","공립","Y","2020학년도 학생건강 체력평가 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000927","서울성내초등학교","02","공립","Y","2020학년도 코로나19로 실시하지 않음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000928","서울성일초등학교","02","공립","Y","2020학년도 학생건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000929","서울세륜초등학교","02","공립","Y","2020학년도 PAPS미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000930","서울송전초등학교","02","공립","Y","2020학년도 학생건강 체력평가 실시 생략함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000931","서울송파초등학교","02","공립","Y","2020학년도 학생 건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000932","서울신가초등학교","02","공립","Y","코로나19 감염병 상황을 고려한 학교장의 승인을 받아 실시 생략","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000933","서울신명초등학교","02","공립","Y","코로나 19로 인한 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000934","서울신암초등학교","02","공립","Y","코로나-19로 인한 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000935","서울신천초등학교","02","공립","Y","2020학년도 학생건강 체력평가 미실시함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000936","서울아주초등학교","02","공립","Y","2020학년도 미실시로 인함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000937","서울영풍초등학교","02","공립","Y","2020학년도 학생건강체력평가(PAPS) 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000938","서울오금초등학교","02","공립","Y","2020학년도 PAPS 실시하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000939","서울오륜초등학교","02","공립","Y","2020학년도에 실시하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000941","서울잠동초등학교","02","공립","Y","2020학년도 PAPS 미실시로 원자료 없음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000942","서울잠신초등학교","02","공립","Y","2020학년도 학생건강 체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000943","서울잠실초등학교","02","공립","Y","코로나 19로 인하여 실시하지 않음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000944","서울잠일초등학교","02","공립","Y","시도교육감 및 교육장의 승인을 받아 2020학년도 학생건강체력평가 실시를 생략함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000945","서울잠전초등학교","02","공립","Y","미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000946","서울중대초등학교","02","공립","Y","코로나19로 인해 PAPS 실시하지 않음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000947","서울천동초등학교","02","공립","Y","2020학년도에 코로나19로 인하여 PAPS를 실시하지 않음.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000948","서울천일초등학교","02","공립","Y","코로나-19 감염병 상황으로 인하여 감염병 확산 방지를 위한 체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000949","서울천호초등학교","02","공립","Y","미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000950","서울토성초등학교","02","공립","Y","감염병 상황으로 2020년도 건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000951","서울평화초등학교","02","공립","Y","코로나-19상황에 따른 감염병예방 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000952","서울풍납초등학교","02","공립","Y","코로나19로 인해 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 송파구","S010000953","서울풍성초등학교","02","공립","Y","2020년 코로나19로 인해 건강체력검사 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강동송파교육지원청","서울특별시 강동구","S010000954","서울한산초등학교","02","공립","Y","1. 관련: 서울특별시교육청 체육건강문화예술과-20102(2020.12.8)  2. 코로나19로 인해 학교전강체력평가제 미실시하여 PAPS통계 미생성 및 미제출함.","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001004","서울가곡초등학교","02","공립","Y","2020학년도 건강체력평가 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 강서구","S010001005","서울가양초등학교","02","공립","Y","2020년도에 팝스 운영 안함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001006","서울갈산초등학교","02","공립","Y","코로나19로 인하여 2020학년도 학생건강체력평가를 실시하지 않음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001007","서울강서초등학교","02","공립","Y","2020학년도 코로나로 인한 자료가 없음","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001008","서울강신초등학교","02","공립","Y","2020학년도 코로나로 인한 미실시","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
"서울특별시교육청","서울특별시강서양천교육지원청","서울특별시 양천구","S010001009","서울강월초등학교","02","공립","Y","2020학년도 학생건강 체력평가 미실시함","","","","0.00","","","","","","","","","","","","","","","","","","","","",""
